Differential gene expression in whole lung bulk RNA-seq data of three replicates of young (3 months) and old mice (22 months),ID,baseMean,gene name,log2FoldChange [old/young],lfcSE,stat,pvalue,padj,Old_1,Old_2,Old_3,young_1,young_2,young_3
,ENSMUSG00000058558,7211.423936,Rpl5,5.265280439,1.67052995,3.151862342,NA,NA,513.5082086,495.407861,41163.11565,300.9485734,479.3733285,316.1899926
,ENSMUSG00000037563,3856.625959,Rps16,5.223164033,1.609967217,3.244267323,NA,NA,336.0834455,363.2063251,21837.17889,167.3436014,162.5461286,273.3973621
,ENSMUSG00000042385,118.6272382,Gzmk,5.211323752,1.162453729,4.483037582,7.36E-06,5.08E-05,256.7541043,44.53104369,391.6616164,13.49545172,4.132528694,1.188684183
,ENSMUSG00000094134,48.45772996,Ighv5-15,5.125506227,1.594533037,3.214424605,0.001307062,0.004699316,108.3314659,169.7746041,4.459145538,4.048635517,4.132528694,0
,ENSMUSG00000094062,238.3218501,NA,5.061194933,1.503843593,3.365506198,0.000764034,0.002944058,56.29824214,106.4570263,1225.521832,32.38908413,6.887547824,2.377368366
,ENSMUSG00000063316,2574.892052,Rpl27,5.03167959,1.592563993,3.159483456,NA,NA,251.6360823,233.0921818,14506.34363,122.8086107,166.6786573,168.793154
,ENSMUSG00000091897,3.839819769,Gm17019,5.003444763,2.537339987,1.97192524,0.048618142,0.101607513,0,0,23.03891861,0,0,0
,ENSMUSG00000076548,63.07770382,Igkv4-69,4.971342876,1.30399807,3.812385149,0.000137632,0.000667201,91.27139255,265.0988694,10.40467292,6.747725861,1.377509565,3.566052549
,ENSMUSG00000060126,20397.42007,Tpt1,4.866941331,1.572169949,3.095683984,NA,NA,2070.239904,2011.550739,114247.7678,1295.563365,1165.373092,1594.025489
,ENSMUSG00000028495,5010.266225,Rps6,4.842060836,1.624910788,2.97989334,NA,NA,416.2657903,397.9962029,28234.56636,296.8999379,340.2448625,375.6242018
,ENSMUSG00000062683,707.7574315,Atp5g2,4.83068863,1.506414396,3.206746193,NA,NA,92.97739989,99.49905074,3909.927446,33.73862931,50.9678539,59.43420914
,ENSMUSG00000038900,4256.720833,Rpl12,4.797536719,1.563390144,3.0686753,NA,NA,439.2968894,448.7894247,23765.75934,234.82086,314.0721808,337.5863079
,ENSMUSG00000076533,12.24810108,Igkv4-90,4.747180557,1.325745397,3.580763371,0.000342592,0.001463849,14.50106237,47.31423392,8.918291076,0,2.75501913,0
,ENSMUSG00000094335,1533.758648,Igkv1-117,4.745255014,1.072753713,4.423433783,9.71E-06,6.51E-05,383.8516509,1507.09751,6980.79234,152.4986045,86.78310258,91.52868208
,ENSMUSG00000079435,2894.217635,Rpl36a,4.731658057,1.578446489,2.997667701,NA,NA,275.520185,298.4971522,16161.42981,172.7417821,195.6063582,261.5105202
,ENSMUSG00000076552,77.16353496,Igkv4-61,4.716411547,0.62541647,7.541233356,4.66E-14,2.22E-12,212.3979135,51.48901926,182.0817761,6.747725861,5.510038259,4.754736732
,ENSMUSG00000095210,141.652347,Ighv5-9-1,4.711032209,1.201568081,3.920736813,8.83E-05,0.000451073,31.56113574,686.7521894,100.3307746,13.49545172,8.265057389,9.509473463
,ENSMUSG00000094787,80.5605859,Ighv1-54,4.66999676,1.807386593,2.583839439,NA,NA,6.82402935,451.5726149,6.688718307,12.14590655,1.377509565,4.754736732
,ENSMUSG00000059645,6.121514667,Gm7361,4.662057562,1.643656868,2.836393442,0.00456262,0.013868133,10.23604402,23.65711696,1.486381846,1.349545172,0,0
,ENSMUSG00000071866,5660.527519,Ppia,4.623830687,1.647656077,2.806308156,NA,NA,424.795827,433.4818784,31781.07344,373.8240127,582.6865459,367.3034125
,ENSMUSG00000079707,2.848898538,Tcte3,4.572978593,2.689217616,1.700486627,0.08903943,0.166364269,0,0,17.09339123,0,0,0
,ENSMUSG00000038932,10.64739607,Tcfl5,4.57157774,1.288452936,3.548113875,0.000388,0.001636236,7.677033019,19.48233161,34.18678246,1.349545172,0,1.188684183
,ENSMUSG00000095761,15.83760054,Ighv1-20,4.544685094,1.133634513,4.008950894,6.10E-05,0.000326702,53.73923113,29.22349742,8.175100153,2.699090345,0,1.188684183
,ENSMUSG00000076545,450.0375241,Igkv4-72,4.492188413,1.242524374,3.615372469,0.000299916,0.001303626,52.03322379,1835.513957,697.8562767,49.93317137,13.77509565,51.11341986
,ENSMUSG00000089844,54.37232564,A530032D15Rik,4.45846214,0.820389717,5.434566092,5.49E-08,6.71E-07,46.91520178,23.65711696,241.53705,4.048635517,4.132528694,5.943420914
,ENSMUSG00000029608,5.269274163,Rph3a,4.441253967,1.554862264,2.856364881,0.004285224,0.013129974,12.79505503,13.91595115,3.715954615,0,0,1.188684183
,ENSMUSG00000020713,2.56341914,Gh,4.417777875,1.867985722,2.364995526,0.018030289,0.044640508,5.118022012,2.087392673,8.175100153,0,0,0
