,HSC 1,HSC 2,HSC 3,HSC 4,HSC 5,HSC 6,MPPa 1,MPPa 2,MPPa 3,MPPa 4,MPPa 5,MPPa 6,MPPb 1,MPPb 2,MPPb 3,MPPb 4,MPPb 5,MPPb 6,MPPc 1,MPPc 2,MPPc 3,MPPc 4,MPPc 5,MPPc 6,CLP 1,CLP 2,CLP 3,CLP 4,CLP 5,CLP 6,CMP 1,CMP 2,CMP 3,CMP 4,CMP 5,CMP 6,MEP 1,MEP 2,MEP 3,MEP 4,MEP 5,MEP 6,GMP 1,GMP 2,GMP 3,GMP 4,GMP 5,GMP 6,Old HSC 1,Old HSC 2,Old HSC 3,Old HSC 4,Old HSC 5,Old HSC 6,Old MPPa 1,Old MPPa 2,Old MPPa 3,Old MPPa 4,Old MPPb 1,Old MPPb 2,Old MPPb 3,Old MPPb 4,Old MPPc 1,Old MPPc 2,Old MPPc 3,Old MPPc 4
Bloc1s3,0,0,0,0,0,0,0,0,0,0,0,5.972397264,12.10296626,0,28.3686974,7.714048091,0,0,0,0,50.69047046,9.04011844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloc1s4,0,0,0,0,0,0,0,0,0,0,26.01162282,16.80257232,0,0,0,29.46710208,26.71780813,39.6405609,31.88320704,0,31.30008861,42.69906302,28.55236691,10.41711737,0,0,0,0,0,0,0,0,0,35.97517032,24.47949028,0,0,38.26526233,0,0,24.36636081,23.73522636,0,0,0,6.120385711,0,0,0,0,0,35.1816308,15.77218425,0,0,0,30.98027097,0,0,0,0,0,0,0,0,0
Bloc1s5,28.97526122,0,0,0,103.3994664,51.87476753,32.64992791,0,0,0,17.00425545,12.09316959,14.40509438,0,19.49667899,0,43.1148915,50.25205504,0,57.53978107,0,0,12.6865457,18.15657452,0,0,13.74430336,52.02716932,0,0,9.741708844,0,0,9.252341314,0,0,49.73522566,36.26651746,0,0,0,10.16456206,16.34323173,35.90289658,33.48400147,51.60450858,0,31.47581403,0,0,20.96954475,28.74832424,18.63752994,21.79241712,0,0,9.371350748,28.26475563,0,0,9.314371389,0,0,0,0,0
Bloc1s6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.965465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blvra,155.4733362,413.867955,433.0151979,485.0982912,352.1751453,480.9237948,325.7171477,211.1990492,392.6395138,270.8700299,358.8382514,251.8007873,201.28604,206.9469976,162.1439898,242.3986467,325.3102467,330.2684505,127.9139982,313.8471833,65.62976086,19.48227119,241.9392326,282.0370932,145.4472159,111.7044089,351.7210688,398.4695704,300.1822361,275.3480977,155.2720727,105.6563585,278.7777568,175.0583507,214.7665278,227.4216323,219.2935381,207.3198645,305.1503976,351.4284691,228.0548597,279.8624271,112.070958,167.8452236,108.5020736,200.2502004,157.1797635,229.6851143,328.2142674,366.6253566,435.3421246,415.1418258,300.1858283,338.9494896,267.1310771,319.169614,251.7482573,311.1717288,336.2526989,231.9349534,240.5729669,237.2434158,291.5324692,220.8411547,463.5184975,304.0365936
Blvrb,1111.637493,518.5654284,431.3341456,589.4721318,461.8697474,600.4640607,218.3592305,221.3403577,360.0318445,290.5904079,449.4666669,434.3534166,224.2665482,176.650837,273.7610259,264.0250994,279.5294427,270.8154351,67.90656956,246.9418209,155.50697,222.888823,263.7102738,237.7272417,127.5705606,63.72809367,219.4326358,156.7084117,96.19142613,47.60962225,307.15636,435.4585187,124.6783357,296.5245601,158.2409473,200.1323143,1399.498318,1179.715232,875.6359988,777.6913055,1396.97661,1428.176634,23.25578435,34.31906391,49.03486196,46.64702921,21.46080668,61.95971154,428.369724,504.2953476,411.9969067,461.190408,438.4217261,522.3540032,438.2421223,206.6927854,534.2596075,540.7688927,317.4911343,208.8618581,395.2025008,325.2935712,83.11593103,64.49040119,204.7063769,190.7282986
Bmi1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.69594402,0,0,0,0,142.6845954,11.74938617,0,0,0,0,0,0,0,0,0,0,36.9580823,0,0,0,0,0,0,0,0,0,39.56144777,0,7.60098145,0,14.1268577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bmp1,86.37899771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bmp2k,0,0,0,0,0,0,0,19.43506391,0,0,0,0,60.99703974,9.237080877,51.83517835,8.963664842,0,0,128.7321171,27.23371799,0,0,0,0,0,19.56755316,0,16.28545291,70.10608761,11.76769143,30.53125195,223.5411104,29.90868773,63.84253868,7.094279244,24.67231118,0,15.92952804,0,0,0,0,85.52586428,22.83486354,80.76635884,43.65454327,56.47732308,41.48573413,0,0,0,0,0,0,0,31.47890203,0,0,0,115.6960647,0,0,0,46.84186825,0,0
Bmper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.79865286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
