,HSC 1,HSC 2,HSC 3,HSC 4,HSC 5,HSC 6,MPPa 1,MPPa 2,MPPa 3,MPPa 4,MPPa 5,MPPa 6,MPPb 1,MPPb 2,MPPb 3,MPPb 4,MPPb 5,MPPb 6,MPPc 1,MPPc 2,MPPc 3,MPPc 4,MPPc 5,MPPc 6,CLP 1,CLP 2,CLP 3,CLP 4,CLP 5,CLP 6,CMP 1,CMP 2,CMP 3,CMP 4,CMP 5,CMP 6,MEP 1,MEP 2,MEP 3,MEP 4,MEP 5,MEP 6,GMP 1,GMP 2,GMP 3,GMP 4,GMP 5,GMP 6,Old HSC 1,Old HSC 2,Old HSC 3,Old HSC 4,Old HSC 5,Old HSC 6,Old MPPa 1,Old MPPa 2,Old MPPa 3,Old MPPa 4,Old MPPb 1,Old MPPb 2,Old MPPb 3,Old MPPb 4,Old MPPc 1,Old MPPc 2,Old MPPc 3,Old MPPc 4
2-Mar,50.48659405,0,0,0,95.45874652,176.7146653,78.40265027,76.53509404,108.5846832,214.4281611,132.6272142,220.8563977,35.08927462,46.2244521,110.7447103,116.0476296,143.3936494,100.4525998,140.2372347,0,299.4328424,214.1826442,170.8123813,153.506599,0,0,83.26704102,101.1080447,152.417424,34.70272525,140.5920699,123.7361341,29.45184994,116.3797655,132.4509318,161.3107531,142.317983,98.90832097,0,0,108.8131155,79.97536864,180.2039525,33.67983868,121.9983675,83.03496725,64.423019,107.3127412,0,0,138.6583867,74.19578464,120.1986422,172.1856679,0,0,112.4536139,115.8107348,0,0,134.9443412,173.9145228,47.24060388,103.7317167,106.8677946,134.6772663
5-Mar,0,0,0,0,0,0,0,0,0,0,12.18851759,12.31777956,6.556226303,0,0,0,14.47105228,33.45727949,66.63104664,0,15.46618677,43.02193637,16.97688055,27.57246881,0,0,0,0,0,0,22.14958011,35.57669402,0,47.10556944,30.64987984,21.27937748,0,0,0,0,31.0679678,22.27416832,2.210021303,17.3834069,11.36173536,44.71514285,107.4745685,6.840904588,0,0,44.02019885,16.0296479,15.08739175,31.27531051,0,0,37.0005298,28.56153256,0,0,12.20567813,13.61191205,0,0,31.66780693,31.32178987
1-Sep,171.3158282,118.6971993,323.914476,163.1338341,219.0615145,325.7169495,389.3744763,390.6405619,421.7474159,402.452971,358.3202554,293.144137,301.5960769,333.9799471,404.8764658,417.2072082,367.6943616,369.6286879,461.0654467,473.5074731,619.4253598,494.8905816,455.5247146,477.4900196,480.493966,482.6743378,481.9474217,443.1860063,357.3797796,359.3536906,298.4836376,233.439569,300.4676206,255.7590104,282.9407114,207.6573909,0,0,51.29093667,0,74.55658517,86.67759565,47.98493983,176.0077017,150.8547869,109.9708593,27.4769074,94.91842791,259.0598483,241.533598,273.3225326,319.3552736,225.6260085,219.9819686,209.4773226,417.4319746,230.1284954,206.107684,288.0435497,310.9800011,230.096344,247.5980925,497.1161306,315.8494936,354.4707887,393.5547481
2-Sep,222.627624,361.9636929,433.9216814,464.9610268,477.2223691,460.0320751,379.3559488,247.7355347,282.7266499,302.3049133,369.5625831,370.0428842,315.3089109,324.6772688,318.3108182,270.472955,302.816535,274.5887044,236.3031692,262.5118351,271.6303555,84.61397456,295.3376825,293.46159,260.81919,253.864369,290.2087417,292.8900564,342.3212359,291.9140264,319.7475787,289.1857975,413.9325972,246.8759752,322.3915944,300.286432,270.0304488,267.6056621,416.3913908,389.1413074,291.8228645,313.0122077,385.6463468,378.5482693,285.2535004,254.8610029,551.1644939,276.6422945,410.5842788,278.278648,347.4479137,414.1642312,360.0399415,394.1896198,409.7728593,265.4798143,249.6293591,298.3420954,328.9134349,288.6606336,362.1479369,296.4964432,236.5014237,259.6661632,288.4641435,281.8544902
3-Sep,0,0,0,0,0,0,0,0,0,0,0,0,12.74366958,21.63729667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6340574,0,0,0,0,20.6813695,0,0,0,0,0,0,0,0,0,0,0,0,26.33458841,0,0,0,0,0,0,0,0,0
5-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.62359222,0,77.00508851,0,0,0,0,0,0
6-Sep,435.7698579,391.5727794,403.7979556,980.0524001,412.1471475,615.9066181,432.7033945,462.9472543,351.9076027,463.672544,503.568941,469.5913493,572.0150469,493.8976234,434.3407362,330.511082,451.1083019,459.3760745,413.1309259,424.6077943,509.7398865,390.8413752,396.830756,433.6192441,631.5167495,689.6532453,562.6503963,495.6123847,487.8849072,594.5479424,510.9864086,428.9760718,491.0668728,371.3499131,288.4076405,351.4695785,235.0814269,160.8108444,334.9611037,200.6050992,192.155287,142.1770429,110.6503766,160.4598915,213.2097269,194.8125884,216.9079751,320.6393668,748.2594275,814.6439907,401.89556,374.7524544,520.2895835,449.9399637,413.5940422,546.2542484,424.5042253,336.7197817,1334.304316,468.337176,457.9893429,296.5628965,509.9924632,565.0110856,463.4278146,414.1569651
7-Sep,250.1900177,495.856493,499.7486145,485.942913,550.2088913,522.430391,610.9955212,668.6425967,548.5997508,508.6817998,332.9612999,496.799927,560.0188466,376.7222621,352.6757914,352.3222769,286.6624235,335.2520501,340.7261894,551.6230281,434.1157648,447.4706352,350.9115317,316.7206919,856.0604247,442.7892142,236.155599,379.2636583,566.1258974,542.4082205,480.977863,390.1641299,396.186861,320.5737914,452.5292158,440.1717889,474.3324048,474.0266505,618.4264178,486.2462511,344.4294323,313.7636374,274.1523253,293.1336873,239.4691137,366.9703879,273.3196965,271.2311103,487.0493306,597.889199,654.5674213,552.7144603,336.6490177,405.251021,392.2100395,362.608302,293.9836644,316.3348929,506.0585924,410.7613879,443.4572814,367.3734179,364.2009318,446.6421194,268.2489161,336.6630404
8-Sep,133.8437587,372.1797091,0,0,110.1843888,114.0140729,0,0,82.73497038,137.8429509,133.3356667,110.69472,68.63450257,0,43.80669093,31.52123557,29.48168036,71.15276757,0,0,0,100.4380002,10.13697863,25.69600692,0,0,0,0,0,0,53.87745331,74.35444816,103.0697888,56.27386177,22.09044029,16.03284065,245.7245718,163.2827871,338.8409507,452.2579479,177.1160627,148.0113935,0,0,0,0,20.14750638,6.875250545,127.9022932,108.1099023,58.5162397,66.3415304,78.00092655,64.5686096,77.42599062,105.8610151,46.70456768,59.58387662,0,0,51.04298086,42.16134476,0,0,54.52429506,0
11-Sep,0,0,0,0,89.76699669,156.1608872,91.94820252,27.50863954,132.4943009,137.0671228,120.8189749,123.1180602,164.0736905,33.93766382,196.9754167,122.4779387,138.6678586,132.9916756,34.60996958,82.95864341,215.1731977,273.957412,101.6206668,112.9469229,236.7154479,137.9822791,196.4518202,165.355788,223.7325676,197.1719941,169.1600513,93.45537289,294.9770546,70.75520668,260.5320117,120.0744304,29.87590952,146.8968328,185.861911,225.2952334,201.1410181,145.6734305,225.8444907,238.756597,191.9917005,256.1115017,294.5180479,159.3476566,104.9172012,91.65918297,115.4519094,121.0694517,135.0381942,173.6654803,90.10815175,69.78490242,126.0823681,174.3527994,0,109.0967843,76.40937279,184.2311073,88.1555264,89.46953681,84.92166055,117.5818463
0610007P14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.593572734,0,0,0,0,0,0,0,0,0
0610010K14Rik,403.1772148,236.3044677,98.12112972,235.509682,91.17096456,127.9591339,164.1435285,164.4226655,112.0783487,67.94832258,87.85483328,101.7926379,247.2960356,315.9047071,81.18729708,67.61813088,137.1962036,119.2798168,179.121355,208.8450196,37.64161468,49.81886089,110.5305546,99.63596024,202.129015,276.2366963,126.4990081,119.5022112,59.20032248,94.13530627,102.50491,239.1298957,171.4585105,209.9609844,94.75277112,77.32663487,122.474485,116.2003392,173.5456013,49.72795736,51.25346491,72.73690376,99.20307338,137.2370585,103.6772559,120.8464033,85.23897018,95.7181322,243.1446843,154.10426,116.2803015,103.717976,143.2115653,131.8892597,235.3621336,144.0781025,151.0497617,139.9164072,176.167,212.1457679,95.67599691,83.82838718,161.108517,194.1474492,125.0505898,113.2240452
1110001J03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.293837163,0,0,0,0,0,26.12245803,7.881836593,0,0,11.41895587,0,0,11.06288878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110004E09Rik,0,0,0,0,0,0,0,0,0,0,0,19.65650398,0,0,25.86968008,44.05152537,0,0,0,0,28.80792988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.72800669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110004F10Rik,276.5846835,0,0,0,0,0,0,32.89944523,0,0,126.5381912,128.5120717,154.5492624,210.4545361,70.93943221,57.86523062,65.66396314,77.31314841,123.7450072,20.05175241,0,0,119.3490683,136.227407,32.23004767,158.8099533,68.10876565,112.6702416,0,0,105.1794774,152.3530175,58.12137077,135.9690311,171.0620802,91.58654903,23.20966909,27.16328349,0,43.08235812,78.55685485,89.52862095,13.41757706,92.31353887,46.76857948,15.62654393,18.08773137,31.70922164,136.7293128,167.5034358,47.71100605,0,96.19172844,66.33617475,144.8501849,169.0651625,98.3670329,99.97219887,370.4481309,193.7415241,109.8270972,138.1650238,97.46684781,184.7735693,102.9702922,125.7067883
1110008L16Rik,0,0,0,0,0,0,0,0,0,0,16.96167088,41.31793801,0,0,0,0,14.47484041,22.27660682,0,0,0,0,27.44242836,20.41939914,0,0,0,5.013794893,0,0,0,0,0,0,10.42787517,50.28922901,0,0,0,0,94.40052234,111.1389434,0,0,0,0,0,46.05470141,0,0,129.4476299,54.81858112,26.74367754,23.93678827,0,0,52.22138421,12.59984474,0,0,28.77059865,43.58093547,0,0,29.81830743,0
1110012L19Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.62977701,22.32402004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110038F14Rik,0,0,0,0,0,0,0,0,0,0,19.95312618,22.26216033,23.405338,0,22.22703988,31.25922379,0,0,0,0,27.83751931,49.20756296,0,0,21.57030946,12.62015551,0,0,0,0,30.8502789,15.19996489,33.7265464,29.30673312,15.57214568,12.01758087,82.02834821,61.80109543,35.64650034,40.33394971,0,36.73368084,0,16.72569483,17.43119646,22.8848324,16.12626136,15.41972119,0,0,0,0,0,0,0,0,11.07890249,0,0,0,9.863436988,0,0,0,0,6.117730905
1110059E24Rik,0,0,0,0,0,0,0,0,0,0,0,5.114543729,0,0,85.48031822,0,0,0,0,0,77.27221225,0,0,6.706463167,0,0,0,15.64306877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.869892628,0,0,0,13.11892603,0,0,0,0,0,0,0,0
1110065P20Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.522540667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.36733125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190007I07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.25838607,0,0,0,0,0,23.96021474,14.151465,0,0,0,0,19.59371747,12.75027651,0,0,0,0,0,23.04887044,0,0,0,0,0,24.14857376,0,0,22.74031022,11.10235212,0,0,0,0,0,0,0,0
1300017J02Rik,0,0,0,0,16.23170364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600014C10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.020118161,0,0,0,0,0,0,0,0,0,15.88429533,0,0,0,0,0,0,0,0,58.90441654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700008O03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.2650767,0,0,379.7840439,0,0,0,0,0,0,0,0,0,0,0,0,337.1122367,0,0,0,0,0,0,0,0,0,0,0,73.27616367,0,147.36875,0,0,263.374671,555.2118658,0,0,0,0,240.5440878,346.999621,0,0,0,319.7833696,0,0,0,385.1447665,0,0
1700020D05Rik,0,0,0,0,0,0,0,0,0,0,20.96500168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.97202271,0,17.03252444,34.54246242,0,0,0,201.7524185,0,0,0,27.19343687,33.71514119,0,0,0,0,0,0,0,0,5.5063539,39.19072235,32.2051352,0,0,0,0,0,0,35.76443862,0,0,0
1700025G04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.09102095,0,0,13.05466845,0,0,0,0,0,0,0,55.10002351,0
1700066M21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.975241576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700112E06Rik,0,0,34.83716482,0,0,0,0,0,0,0,14.71020982,0,14.92955811,0,31.96170363,0,21.5511322,0,0,0,0,0,17.0830609,24.98962658,0,0,0,0,0,0,0,0,0,0,10.33664334,15.80708239,0,0,0,0,0,0,0,0,0,0,13.49196011,41.81384834,0,45.94588159,40.50076425,26.55899703,0,0,5.550908252,0,32.24925699,18.71383308,0,0,25.18086292,46.25417574,15.56197187,21.28302542,0,37.0639408
1810009N02Rik,16.07772578,0,0,0,0,0,0,0,0,0,0,0,36.81583312,36.55203652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810026J23Rik,37.84375566,70.19471484,0,84.95749089,71.43065201,30.08162659,67.02372335,44.42418953,61.07974819,80.72154651,53.7900295,79.30996234,70.84838227,0,33.89221846,20.51285772,52.20294573,32.16176169,24.05408249,55.32409415,24.30200235,0,64.02326819,51.70307183,36.01992748,26.71520328,55.99706711,47.477478,76.09760731,74.80418868,41.60117915,84.69849603,21.85518558,88.27098859,66.05557767,97.09062066,86.52815052,128.0533115,98.08872437,25.66735819,67.7119403,48.38318746,121.9220443,23.8631382,16.35299859,32.80378959,0,9.112644325,0,0,35.60936337,31.99996103,21.85305446,43.12427829,0,0,38.47619821,35.64428296,0,0,23.22892218,47.64803021,0,0,112.4230502,88.01684714
1810037I17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.30828644,26.62916676,0,0,0,0,0,0,0,0,0,0,0,24.66457934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010107G23Rik,0,0,0,0,20.94271491,0,0,0,0,0,7.146783203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.78098753,44.67496515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200002J24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.24026368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210010C04Rik,28.91861537,0,0,0,91.20912219,26.31866434,0,0,0,0,33.20657546,32.95654571,0,0,0,0,43.72026113,26.9624349,0,0,0,0,17.5098469,31.36320987,0,0,41.78363706,78.23574514,42.73008765,140.3009934,0,0,0,0,52.4383179,41.27798148,0,0,0,0,49.92091748,14.3268571,0,0,0,0,0,16.63697748,0,0,22.58931689,0,53.17612678,0,29.18563183,29.49895686,25.76817256,21.37158866,108.7783971,143.686036,0,21.61498753,0,37.07802082,0,31.57099513
2210016F16Rik,39.16949188,0,18.84591564,169.6230137,105.6813512,93.54770354,38.17047354,33.17312875,41.58976181,44.73933753,45.066792,69.34745621,18.29137622,32.53924229,46.8273225,15.36481353,46.86686732,43.06243163,33.57846757,24.07824266,67.87443655,0,45.74491154,46.55464699,0,0,62.34900453,61.75017511,60.63076077,11.12816939,15.50760778,12.22868056,116.1636648,14.91996913,40.63900066,24.48378174,41.0186752,42.06082772,0,59.00491028,60.27999779,41.02799149,48.38022589,0,0,15.4154796,7.690941198,66.40986749,0,0,92.05697708,58.71947061,70.12096274,52.23484245,0,0,50.62536253,46.3528706,0,0,79.97936472,53.89828823,0,0,44.5148069,57.61623576
2210016L21Rik,45.69095047,0,0,0,0,0,0,0,0,0,8.522944031,4.477446271,46.44034626,51.22715312,59.59803605,37.49199027,0,0,58.35821492,0,41.00905123,66.5173669,0,15.25745243,190.2822414,242.1057772,33.51554133,0,89.63335528,42.04751139,56.4973086,59.72607858,176.8079481,49.57995518,16.09065617,14.48311667,161.5877852,111.9486138,573.6748551,93.47386947,60.16740665,43.20863058,0,95.54136584,70.93120438,67.32051094,104.9205391,19.56501149,60.25842461,55.59944834,0,0,0,0,30.02211345,73.79931357,0,0,48.08106386,39.59218708,0,0,29.67207755,105.6006289,37.70771645,60.84517038
2310011J03Rik,0,0,0,0,0,0,0,0,0,0,9.232285,0,0,0,15.22055452,32.94031321,3.387983127,13.72686933,26.3730922,0,19.29800656,15.23793928,8.79143769,28.13659467,16.44449179,0,54.0714204,40.32318862,97.46278898,16.01826587,40.32395067,33.01899464,16.14747604,4.700823507,0,0,31.27150411,25.08108011,0,30.08489386,14.30077477,11.47874653,3.115301394,18.25667167,22.91984994,6.353254867,11.43184393,6.617606471,0,0,6.267637784,13.91657558,14.44222653,5.728677011,36.19905255,52.85319195,28.3946651,15.37549462,0,32.24733525,9.422366826,12.77561217,0,23.41819291,46.86433523,17.09531879
2310033P09Rik,0,0,0,0,0,0,0,0,0,0,0,4.916248651,0,0,0,0,0,0,36.96250062,0,0,70.95808726,0,0,0,0,0,60.75081976,34.12760799,0,47.24680761,0,0,52.32762059,0,0,73.44811643,0,0,0,0,0,0,0,0,0,0,0,0,0,9.233971449,0,0,25.48636933,0,0,0,0,0,0,0,0,0,0,46.96960961,52.31234584
2310035C23Rik,0,0,0,0,0,0,0,0,0,0,39.77602353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2310036O22Rik,0,0,0,0,32.96950565,31.51320103,146.788311,96.73431628,90.07931378,53.23415634,22.30086264,60.37841264,5.119010069,0,46.42208406,93.1302826,52.93378883,18.81830045,0,85.30076238,31.62280677,0,49.76472247,26.79781952,85.6569127,87.83611946,33.01435382,29.38266701,47.03105179,29.3387569,10.86960982,0,24.2001568,27.49957659,42.16240016,72.95442146,36.75987402,82.53794031,45.11330194,36.91741486,74.50836495,52.25720932,24.44878967,0,0,48.5527391,217.6971932,23.07942945,0,0,70.17264214,83.77166176,32.97034907,54.46523638,0,0,42.06713166,29.95943975,0,0,27.86871453,40.48938521,0,0,34.57161712,60.03335463
2310057M21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.29237714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410004B18Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.710812291,0,0,0,0,0,0,0,24.78870556,0,0,0,0,0,0,0,0,0,0
2410004P03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.36324237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410016O06Rik,0,0,0,0,0,0,0,0,76.05533994,88.78292438,75.59993198,58.62025248,127.5209915,16.072187,79.34225124,109.0709683,67.53476729,27.7803123,24.19393495,17.8806409,148.7153181,117.720428,97.50865598,19.72104398,0,0,0,0,0,0,30.57988044,0,85.43262428,0,57.04428233,41.21723973,0,29.99568173,0,0,72.27779306,75.53254932,23.08970193,22.49695467,12.23031932,36.29416129,50.64745114,65.64559585,0,0,69.20310033,9.778804323,31.00417422,53.90033732,0,0,55.69196438,100.3626232,0,0,45.39656824,92.67000325,0,0,37.66492119,7.201130772
2610042L04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7487202,0,0,0
2700094K13Rik,0,0,66.12253749,0,0,0,109.1556062,123.9296951,31.35557327,82.70602001,9.556080081,0,23.20031294,25.68785503,69.72290725,114.2657913,0,0,46.40209113,58.29848914,41.23268842,102.4728553,17.8404807,0,134.6030136,153.5729349,33.61062513,0,0,0,63.86914865,27.98179664,199.9705499,20.76044462,0,0,64.08238042,39.59979989,0,0,0,0,42.79406817,0,0,0,108.602566,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5572584,12.76095148,0,0,0,0
2700097O09Rik,0,0,0,0,33.03795636,38.45298979,0,0,38.42396989,14.43838554,24.93640991,20.03767855,11.50337966,0,12.61287049,26.09787586,66.292128,19.46830451,0,0,27.98357128,38.87476218,22.34075769,10.07549775,0,0,55.5230464,45.7203021,0,0,19.29174536,0,0,0,0,0,11.69048383,31.26486342,0,0,49.56166134,37.09297373,0,41.27500594,55.89563988,26.51568264,8.645625618,40.17607636,0,0,15.42758503,21.58219327,25.74705518,34.10324946,0,0,28.24697716,34.40812476,0,0,16.33225711,25.77113479,0,0,36.64322108,0
2810403A07Rik,0,0,0,0,0,0,0,0,53.05450363,0,6.485103956,15.04116044,0,0,112.2084195,99.99091371,16.84408261,20.97871558,0,0,38.8346284,123.6840582,12.32718422,5.451402692,0,0,0,0,23.59485684,0,56.51840096,0,15.04473323,0,9.113620349,0,0,0,0,0,48.23143218,12.7217691,0,0,0,0,0,25.92879376,0,0,45.51196169,21.4728984,80.44120008,36.27620304,0,0,72.56691222,11.93961193,0,0,19.91848283,13.54648309,0,0,13.68537576,0
2810428I15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76710914,0,0,0,0,0,0,0,0,0,0,0,48.69644266,0,0,0,0,0,0,10.18706392,16.85534346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2810474O19Rik,0,0,0,0,0,0,0,0,0,0,0,0,6.350664188,0,88.60123856,0,0,0,0,114.8040051,179.4452055,194.540293,0,191.9983083,0,0,0,0,322.3693994,0,0,0,263.610115,0,0,0,0,0,0,0,0,88.95392295,0,0,0,100.6496956,126.9673255,0,0,0,0,0,0,0,0,0,82.49821999,97.64622975,0,0,0,0,0,0,0,188.4449466
2900026A02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.8849502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 SV,89.33595314,0,0,0,0,0,0,0,0,0,0,0,88.47213812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11135919,0,0,0,0,43.02533554,2.833615731,0,0,0,0,0,0,45.27948547,0,0,0
3110002H16Rik,0,0,0,0,0,0,0,0,0,0,0,0,15.15299332,0,0,0,0,0.949058516,0,0,0,0,0,4.398950412,0,0,0,0,0,0,0,23.55681697,0,0,0,0,0,0,0,0,87.98537751,4.907184401,0,0,55.69875462,0,40.8755338,41.90266047,0,0,0,0,0,13.1569412,0,0,0,10.17732105,0,0,0,0,0,0,0,0
3110009E18Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.12220018,0,0,0,0,0,0,0,0,0,0,0,0,8.607202246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 SV,489.0274249,0,0,0,0,0,0,0,0,0,0,0,195.3928154,201.110986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930402H24Rik,0,0,0,0,0,0,0,0,0,71.2974802,0,0,0,0,0,0,50.23424834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.39749286,0,0,72.87598523,0,0,0,0,57.34546174
4930430F08Rik,0,0,0,0,0,0,0,0,0,90.97582373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930453N24Rik,0,0,0,0,0,0,0,0,0,0,51.14236055,0,0,0,0,0,0,0,0,0,17.54221801,42.88685453,3.164115317,0,0,0,0,0,0,0,17.55396699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.94006655,0,0,0,0,0,5.380591199,0,0,4.711654842,0,0,0,5.211171573,0,0,0,0,0
4930522L14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.2945687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4931406P16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.95084049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4931414P19Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.30946968,45.7472489,0,0,0,0,0,40.42349336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5730455P16Rik,0,0,0,0,0,0,0,0,0,0,0,17.23113779,0,0,98.77475809,33.13846703,29.20149172,55.07220746,0,0,105.2617685,43.5197058,25.34772609,23.6051739,0,0,27.12135554,0,0,0,25.66660116,0,0,0,0,35.1377827,0,0,0,0,0,0,0,0,0,0,0,15.60495227,0,0,17.45591382,0,15.61570537,21.7057056,0,0,33.62960007,0,0,0,31.81383861,33.9157596,0,0,0,0
