Spot ID,ET10 vs ST12,ET10 vs ET14,ET10 vs ET16,ET10 vs ET18,ET10 vs NB,ET10 vs 1w,ET10 vs 2w,ET10 vs 4w,ET 10 vs 8w,ET10 vs 14w,ET10 vs 22w,ET10 vs 42w,ET10 vs 75w,ET10 vs 100w,ET12 vs ET14,ET12 vs ET16,ET12 vs ET18,ET12 vs NB,ET12 vs 1w,ET12 vs 2w,ET12 vs 4w,ET 12 vs 8w,ET12 vs 14w,ET12 vs 22w,ET12 vs 42w,ET12 vs 75w,ET12 vs 100w,ET14 vs ET16,ET14 vs ET18,ET14 vs NB,ET14 vs 1w,ET14 vs 2w,ET14 vs 4w,ET 14 vs 8w,ET14 vs 14w,ET14 vs 22w,ET14 vs 42w,ET14 vs 75w,ET14 vs 100w,ET16 vs ET18,ET16 vs NB,ET16 vs 1w,ET16 vs 2w,ET16 vs 4w,ET 16 vs 8w,ET16 vs 14w,ET16 vs 22w,ET16 vs 42w,ET16 vs 75w,ET16 vs 100w,ET18 vs NB,ET18 vs 1w,ET18 vs 2w,ET18 vs 4w,ET 18 vs 8w,ET18 vs 14w,ET18 vs 22w,ET18 vs 42w,ET18 vs 75w,ET18 vs 100w,NB vs 1w,NB vs 2w,NB vs 4w,NB vs 8w,NB vs 14w,NB vs 22w,NB vs 42w,NB vs 75w,NB vs 100w,1w vs 2w,1w vs 4w,1w vs 8w,1w vs 14w,1w vs 22w,1w vs 42w,1w vs 75w,1w vs 100w,2w vs 4w,2w vs 8w,2w vs 14w,2w vs 22w,2w vs 42w,2w vs 75w,2w vs 100w,4w vs 8w,4w vs 14w,4w vs 22w,4w vs 42w,4w vs 75w,4w vs 100w,8w vs 14w,8w vs 22w,8w vs 42w,8w vs 75w,8w vs 100w,14w vs 22w,14w vs 42w,14w vs 75w,14w vs 100w,22w vs 42w,22w vs 75w,22w vs 100w,42w vs 75w,42w vs 100w,75w vs 100w
1888,,,0.000 ,0.000 ,0.000 ,,0.000 ,,,,,,0.017 ,,0.042 ,0.000 ,0.000 ,0.000 ,0.013 ,0.000 ,0.016 ,0.014 ,0.049 ,0.020 ,,0.001 ,0.009 ,0.000 ,0.000 ,0.000 ,,0.000 ,,,,,,,,,,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.019 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.008 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,0.025 ,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,0.031 ,,,,,0.035 ,,,,,,,,,,0.025 ,,0.032 
1891,,0.000 ,0.044 ,,0.044 ,0.002 ,,0.008 ,0.000 ,0.007 ,0.001 ,0.011 ,0.000 ,0.000 ,0.000 ,,,0.003 ,0.001 ,0.014 ,0.032 ,0.000 ,0.009 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.003 ,0.001 ,,,0.000 ,,,0.004 ,0.000 ,0.002 ,,,,,,,,,0.021 ,0.001 ,,,0.001 ,0.002 ,0.001 ,0.000 ,0.028 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,,0.001 ,0.000 ,,,0.045 ,0.042 ,,,0.001 ,0.000 ,,,0.003 ,0.000 ,0.009 ,0.000 ,0.000 ,,,0.000 ,,0.002 ,0.000 ,,0.001 ,0.000 ,,,0.000 ,0.000 
1895,,,0.049 ,0.001 ,0.016 ,,,,,,,,,0.018 ,,0.000 ,0.000 ,0.000 ,,0.000 ,0.003 ,,0.003 ,0.002 ,0.001 ,0.001 ,,0.005 ,0.000 ,0.000 ,,0.002 ,0.011 ,,0.005 ,0.013 ,0.023 ,0.012 ,,,,0.004 ,0.035 ,0.012 ,0.004 ,0.011 ,0.014 ,,0.000 ,0.000 ,0.006 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.006 ,0.000 ,0.000 ,0.000 ,0.013 ,0.001 ,0.000 ,0.001 ,0.002 ,,0.000 ,0.000 ,0.001 ,0.002 ,,0.001 ,0.003 ,0.014 ,0.001 ,,0.027 ,0.002 ,0.015 ,0.045 ,,0.008 ,0.000 ,0.008 ,,,,,0.000 ,0.005 ,0.009 ,0.018 ,0.004 ,,,,,0.000 ,,,0.000 ,0.011 ,0.000 ,0.000 
1897,,,,,,,,,,0.008 ,0.005 ,,,,0.043 ,,0.036 ,0.007 ,,,0.005 ,0.003 ,0.000 ,0.000 ,,,,0.017 ,0.008 ,0.006 ,,,0.004 ,0.002 ,0.000 ,0.001 ,0.025 ,0.005 ,,,,,,0.036 ,0.018 ,0.001 ,0.001 ,,,,,,,,,0.000 ,0.000 ,,,,,,,,0.000 ,0.000 ,,,0.010 ,,,0.042 ,0.001 ,0.001 ,,,,,,,,,,,,0.002 ,0.002 ,,0.027 ,0.017 ,0.002 ,0.002 ,,0.017 ,0.014 ,,0.001 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,,,
1898,,,,,0.023 ,,,,,,,,0.019 ,,,,,0.040 ,,,,,,,,,,,,0.013 ,0.015 ,,,,,,,0.005 ,,,,,,,,,,,,,,,,,,,,,,,,,0.032 ,0.008 ,,,0.007 ,,0.011 ,,,0.009 ,,,0.002 ,,0.034 ,,,,,,,,,,,,0.031 ,,0.030 ,,,0.002 ,,,0.012 ,,,,,,0.001 ,,0.035 
1902,,0.024 ,0.031 ,0.001 ,0.000 ,,0.000 ,,,,,,0.022 ,,,,,,,0.000 ,,,,,,,,,,,0.003 ,0.000 ,0.003 ,0.003 ,0.007 ,0.005 ,0.005 ,0.000 ,0.001 ,0.047 ,0.005 ,0.000 ,0.000 ,0.000 ,0.000 ,0.003 ,0.001 ,0.002 ,0.000 ,0.007 ,0.026 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,,,0.005 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,,0.005 ,,,,,0.005 ,,,,0.048 ,,,0.018 ,,0.014 ,0.001 
1911,0.012 ,,,,,,,,0.016 ,,,,0.001 ,,0.007 ,,,,0.001 ,,0.001 ,0.000 ,0.001 ,0.005 ,0.016 ,0.000 ,,,,,0.043 ,,,0.007 ,,,,0.001 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040 ,,0.027 ,,,,0.020 ,0.011 ,0.042 ,0.028 ,0.046 ,,,0.001 ,0.034 ,,,,,,0.009 ,0.030 ,0.030 ,,,0.002 ,,,0.010 ,0.020 ,,0.004 ,,0.012 ,,0.000 
1914,,0.000 ,0.004 ,,0.019 ,0.001 ,0.001 ,0.000 ,0.002 ,0.002 ,0.004 ,0.001 ,0.000 ,,0.000 ,0.001 ,0.002 ,0.001 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.000 ,0.000 ,,,0.000 ,0.008 ,0.013 ,0.001 ,0.000 ,,0.044 ,,,0.041 ,0.001 ,,,,,0.022 ,,,0.008 ,0.000 ,0.000 ,0.046 ,0.005 ,0.007 ,0.006 ,0.000 ,,0.005 ,0.001 ,0.000 ,,0.003 ,0.006 ,0.004 ,0.000 ,,,0.000 ,0.003 ,,,,,,,0.036 ,,,,0.021 ,,0.000 ,0.025 ,0.039 ,0.002 ,0.000 ,,0.044 ,,0.014 ,0.003 ,,,,,,,,,,,
1917,,,0.001 ,0.009 ,0.002 ,,,,,,0.027 ,,0.033 ,,,0.000 ,0.000 ,0.000 ,,0.043 ,,,,0.002 ,,,0.045 ,0.001 ,0.012 ,0.004 ,0.012 ,,,0.012 ,0.011 ,0.040 ,0.018 ,0.004 ,,,0.002 ,0.001 ,0.028 ,0.001 ,0.001 ,0.001 ,0.009 ,0.001 ,0.000 ,0.000 ,0.028 ,0.006 ,,0.008 ,0.006 ,0.007 ,,0.007 ,0.000 ,0.000 ,0.001 ,,0.001 ,0.001 ,0.001 ,,0.001 ,0.000 ,0.000 ,,,,,0.012 ,,,0.033 ,,,,,,0.012 ,,,,0.019 ,,,,,0.011 ,,,0.026 ,0.012 ,,,0.040 ,0.014 ,0.000 ,0.005 ,,,0.001 
1920,,,0.001 ,0.000 ,0.000 ,,,,,,,,,,,0.000 ,0.000 ,0.000 ,,,,,0.036 ,,,,0.033 ,0.000 ,0.000 ,0.000 ,,,,,0.038 ,,,,,0.008 ,,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.007 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,,,,,,,,,,,,0.005 ,,,,,0.044 ,0.005 ,,0.033 ,,,,,,0.025 ,,,,,0.031 ,0.008 
1922,,,,0.000 ,0.000 ,0.041 ,,0.034 ,0.008 ,0.004 ,0.006 ,,,,0.007 ,0.005 ,0.000 ,0.000 ,,0.004 ,,,0.000 ,0.001 ,,,0.012 ,,0.000 ,0.000 ,0.011 ,,0.010 ,0.004 ,,,0.046 ,0.023 ,,,,,0.005 ,,,,,,0.010 ,0.001 ,0.016 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.044 ,,0.021 ,0.000 ,0.000 ,,,,0.042 ,0.010 ,,,,0.048 ,,0.016 ,0.000 ,0.000 ,,,,0.000 ,0.000 ,,0.007 ,0.026 ,,0.005 ,0.000 ,,0.006 ,0.000 ,,,,
1931,,,0.003 ,,,,,,0.041 ,,,,,,,0.000 ,0.022 ,0.014 ,,,,0.004 ,,,0.018 ,,0.032 ,0.004 ,,,,,,,0.005 ,,,,,,,0.002 ,,0.006 ,0.005 ,0.001 ,0.005 ,0.006 ,0.000 ,0.000 ,,,,,,,,,0.035 ,,,,,,0.034 ,,,0.023 ,,,,0.011 ,0.008 ,,,,,,,,,,,,,,,,,,0.000 ,,,0.004 ,,,0.004 ,0.040 ,0.010 ,,,,0.022 ,,0.048 
1937,0.001 ,0.003 ,0.000 ,0.000 ,0.000 ,0.014 ,,0.003 ,0.000 ,0.000 ,0.000 ,0.011 ,0.003 ,0.000 ,0.006 ,0.000 ,0.000 ,0.000 ,,0.000 ,,0.001 ,0.000 ,0.000 ,,,0.000 ,0.005 ,0.000 ,0.000 ,0.049 ,0.000 ,0.021 ,,0.007 ,0.017 ,,0.031 ,0.011 ,0.001 ,0.002 ,0.001 ,0.000 ,0.000 ,0.002 ,,,0.001 ,0.000 ,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.002 ,0.000 ,0.000 ,0.000 ,0.005 ,,0.009 ,0.000 ,0.003 ,,,0.000 ,0.004 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.000 ,0.001 ,0.000 ,0.001 ,,,0.000 ,0.001 ,0.013 ,0.038 ,0.007 ,0.017 ,,0.001 ,0.000 ,,0.005 ,0.000 ,,,0.001 ,0.000 
1949,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.036 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,,0.001 ,0.019 ,0.019 ,0.009 ,0.006 ,0.014 ,0.000 ,,0.015 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.028 ,0.015 ,0.017 ,0.005 ,0.001 ,0.023 ,0.001 ,0.015 ,,,,,,,0.000 ,,0.018 ,0.000 ,,,0.004 ,0.016 ,0.000 ,,0.038 ,0.005 ,,,,0.001 ,,0.003 ,0.001 ,,0.002 ,0.000 
1952,,0.001 ,0.000 ,0.008 ,0.000 ,0.002 ,0.000 ,0.000 ,0.001 ,0.048 ,,0.001 ,0.000 ,0.000 ,0.001 ,0.022 ,0.002 ,0.000 ,0.002 ,0.000 ,0.001 ,0.001 ,,,0.001 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.015 ,,0.016 ,,0.000 ,0.000 ,,,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.002 ,0.000 ,0.001 ,0.002 ,0.014 ,0.013 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.014 ,0.003 ,,0.000 ,0.000 ,,0.001 ,0.026 ,,,0.000 ,0.000 ,,,,0.031 ,0.000 ,0.000 ,0.012 ,,,0.000 ,0.000 ,,,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.016 ,,
1959,0.038 ,,0.001 ,0.001 ,0.000 ,,,,,,,,,,,0.000 ,0.000 ,0.001 ,0.012 ,0.013 ,0.048 ,0.011 ,,,0.035 ,0.002 ,,0.001 ,0.001 ,0.000 ,0.020 ,,,0.003 ,,,0.004 ,0.009 ,,,0.004 ,0.001 ,0.000 ,0.001 ,0.000 ,0.001 ,0.001 ,0.001 ,0.000 ,,0.001 ,0.001 ,0.000 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.000 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,0.027 ,0.044 ,,,,,,,,,,,,,,,,,0.006 ,0.005 ,0.042 ,,,,0.019 ,0.012 ,,0.010 ,0.034 ,,,,
1960,,0.002 ,0.000 ,0.001 ,0.000 ,0.032 ,,,,,0.001 ,,,,0.000 ,0.000 ,0.000 ,0.000 ,,,,,,0.031 ,,,,0.004 ,0.018 ,0.000 ,0.002 ,0.000 ,0.003 ,0.002 ,0.003 ,0.010 ,0.002 ,0.000 ,,,0.006 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,,0.001 ,0.000 ,0.001 ,0.001 ,0.001 ,0.002 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.040 ,0.012 ,,0.009 ,0.001 ,,,,,,,,,,,,,0.002 ,0.035 ,,,,0.002 ,,,,0.007 ,0.020 ,,,0.001 ,0.001 ,,,,
1967,,0.011 ,,0.003 ,0.000 ,0.016 ,0.000 ,,,,,0.014 ,,,,,0.001 ,0.001 ,,0.000 ,,,,,,0.035 ,,,0.009 ,0.003 ,0.003 ,0.000 ,,0.010 ,0.004 ,,0.002 ,0.036 ,,0.020 ,0.019 ,0.029 ,0.000 ,,0.042 ,,,0.028 ,0.025 ,,,0.001 ,0.000 ,0.002 ,0.002 ,0.002 ,0.008 ,0.001 ,0.000 ,,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.004 ,0.000 ,0.000 ,,0.000 ,,,,,,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.013 ,,,,,,,,,,,,,,,,,,,,,
1981,,,0.001 ,0.006 ,0.001 ,,,,,,,,,,,0.002 ,0.013 ,,0.049 ,,,,,,,0.038 ,,0.002 ,0.020 ,0.013 ,0.018 ,,0.042 ,,,,0.039 ,0.033 ,,,0.000 ,0.000 ,,0.001 ,0.000 ,0.001 ,0.002 ,0.000 ,0.000 ,,,0.003 ,,0.004 ,0.006 ,0.006 ,0.008 ,0.004 ,0.000 ,,0.000 ,,0.000 ,0.001 ,0.001 ,0.003 ,0.000 ,0.000 ,,,,0.020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,0.044 ,0.045 ,,,0.046 ,0.007 ,,,,,,,,,,,,,0.007 ,0.011 ,0.002 ,0.000 ,0.000 ,,,,,,,,,,0.034 ,0.024 ,,,0.002 ,0.000 ,0.008 ,0.000 ,0.002 ,0.005 ,,,0.004 ,,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.043 ,0.004 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,,,,,,,,,,,0.028 ,,,,,,,,,,,,,,,,,,,,,,
1990,0.019 ,,0.000 ,0.001 ,,0.023 ,,0.046 ,,,,,,,0.039 ,0.000 ,0.000 ,0.000 ,0.005 ,,0.005 ,0.016 ,0.019 ,0.015 ,0.026 ,0.001 ,0.006 ,0.000 ,0.001 ,0.019 ,0.019 ,,0.030 ,,,,,,,,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.001 ,0.001 ,0.001 ,0.001 ,0.000 ,0.000 ,,0.005 ,,,0.046 ,,0.027 ,,0.006 ,0.044 ,,0.028 ,0.003 ,,0.007 ,,0.026 ,0.044 ,,,,,0.007 ,0.005 ,,0.017 ,,0.018 ,,0.030 ,,,,,,,,,,,,,,,0.025 
1992,,0.037 ,,,,0.013 ,,0.013 ,0.010 ,0.023 ,0.036 ,0.006 ,0.003 ,0.010 ,,,,,0.042 ,,,,,,0.045 ,0.007 ,0.004 ,0.002 ,0.000 ,0.002 ,,,,0.042 ,,,0.013 ,,,0.008 ,0.001 ,0.002 ,,0.001 ,0.001 ,0.002 ,0.002 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.001 ,0.002 ,0.000 ,0.000 ,0.002 ,,,,,,,,,,,,,,0.024 ,0.046 ,,,,,,,,0.023 ,0.001 ,,,,,,,0.007 ,,,,,
1996,,,,,,,,0.045 ,0.042 ,,,,,0.007 ,,,,0.037 ,0.038 ,,0.041 ,0.040 ,,,0.043 ,0.006 ,0.002 ,,0.021 ,0.015 ,,,,,,,,,,,,0.023 ,,0.020 ,0.019 ,0.029 ,0.029 ,0.024 ,0.006 ,0.001 ,0.043 ,0.006 ,,0.006 ,0.005 ,0.010 ,0.010 ,0.007 ,0.001 ,0.000 ,0.001 ,,0.000 ,0.000 ,0.001 ,0.002 ,0.001 ,0.003 ,0.000 ,,,,,,,,,,,,,,0.027 ,0.009 ,,,,,,,0.046 ,,,,,,,,,,,,,,
2004,,,0.002 ,0.008 ,0.000 ,0.049 ,,,,,,,0.016 ,0.005 ,,0.012 ,0.016 ,0.006 ,0.027 ,,0.034 ,0.043 ,,,0.021 ,0.002 ,0.001 ,0.001 ,0.007 ,0.000 ,0.030 ,,,,,,0.043 ,0.013 ,0.003 ,,0.049 ,0.000 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.000 ,0.000 ,,0.002 ,0.001 ,0.003 ,0.003 ,0.004 ,0.005 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,0.044 ,,,,,,,,,,0.019 ,0.009 ,,,,,,,,,,,,,,,0.022 ,,,,,,
2006,,,,,,,,,,,,0.049 ,0.017 ,,,,,,,,,,,,,0.017 ,,,,,,,,,,,0.048 ,,,,,0.008 ,,,0.004 ,0.003 ,0.004 ,0.003 ,0.001 ,,,0.027 ,,,0.016 ,0.012 ,0.019 ,0.010 ,0.004 ,,0.024 ,,,0.010 ,0.007 ,0.014 ,0.005 ,0.005 ,,,,,,,,,,,,,,,,,,,,,,,0.040 ,,0.045 ,,0.033 ,,,,0.025 ,0.044 ,,0.042 ,,0.021 ,0.015 
2009,,,0.002 ,0.000 ,0.000 ,0.011 ,,,,,,,0.034 ,,,,,,0.015 ,,0.017 ,0.023 ,0.020 ,0.045 ,0.039 ,0.002 ,0.001 ,0.002 ,0.000 ,0.001 ,0.002 ,,0.041 ,0.031 ,,,,0.009 ,0.019 ,,0.002 ,0.001 ,,0.001 ,0.001 ,0.002 ,0.001 ,0.002 ,0.000 ,0.000 ,0.007 ,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,0.002 ,,,,,,,,,0.046 ,0.039 ,,,,,,,,,,,,,,,,,,,,,
2014,,,,,0.034 ,,,,,,,,0.009 ,,,,,0.032 ,,,,,,,,0.023 ,,0.014 ,,,0.022 ,0.001 ,,0.040 ,0.011 ,,0.000 ,0.002 ,,,0.002 ,0.004 ,0.006 ,,0.006 ,0.003 ,0.030 ,0.001 ,0.000 ,0.027 ,0.009 ,0.020 ,0.022 ,,0.022 ,0.023 ,,0.012 ,0.001 ,0.028 ,,0.040 ,,,,,,,,,,,,,,,,,,,,0.022 ,,,,,,0.048 ,0.018 ,,,,,,,,,,,0.045 ,0.029 ,,,,
