Spot ID,ET10 vs ST12,ET10 vs ET14,ET10 vs ET16,ET10 vs ET18,ET10 vs NB,ET10 vs 1w,ET10 vs 2w,ET10 vs 4w,ET 10 vs 8w,ET10 vs 14w,ET10 vs 22w,ET10 vs 42w,ET10 vs 75w,ET10 vs 100w,ET12 vs ET14,ET12 vs ET16,ET12 vs ET18,ET12 vs NB,ET12 vs 1w,ET12 vs 2w,ET12 vs 4w,ET 12 vs 8w,ET12 vs 14w,ET12 vs 22w,ET12 vs 42w,ET12 vs 75w,ET12 vs 100w,ET14 vs ET16,ET14 vs ET18,ET14 vs NB,ET14 vs 1w,ET14 vs 2w,ET14 vs 4w,ET 14 vs 8w,ET14 vs 14w,ET14 vs 22w,ET14 vs 42w,ET14 vs 75w,ET14 vs 100w,ET16 vs ET18,ET16 vs NB,ET16 vs 1w,ET16 vs 2w,ET16 vs 4w,ET 16 vs 8w,ET16 vs 14w,ET16 vs 22w,ET16 vs 42w,ET16 vs 75w,ET16 vs 100w,ET18 vs NB,ET18 vs 1w,ET18 vs 2w,ET18 vs 4w,ET 18 vs 8w,ET18 vs 14w,ET18 vs 22w,ET18 vs 42w,ET18 vs 75w,ET18 vs 100w,NB vs 1w,NB vs 2w,NB vs 4w,NB vs 8w,NB vs 14w,NB vs 22w,NB vs 42w,NB vs 75w,NB vs 100w,1w vs 2w,1w vs 4w,1w vs 8w,1w vs 14w,1w vs 22w,1w vs 42w,1w vs 75w,1w vs 100w,2w vs 4w,2w vs 8w,2w vs 14w,2w vs 22w,2w vs 42w,2w vs 75w,2w vs 100w,4w vs 8w,4w vs 14w,4w vs 22w,4w vs 42w,4w vs 75w,4w vs 100w,8w vs 14w,8w vs 22w,8w vs 42w,8w vs 75w,8w vs 100w,14w vs 22w,14w vs 42w,14w vs 75w,14w vs 100w,22w vs 42w,22w vs 75w,22w vs 100w,42w vs 75w,42w vs 100w,75w vs 100w
1847,,,0.000 ,0.000 ,0.000 ,,0.003 ,0.013 ,0.001 ,0.000 ,0.003 ,,0.003 ,0.000 ,0.008 ,0.000 ,0.000 ,0.000 ,0.006 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.003 ,0.026 ,0.003 ,0.001 ,0.005 ,,0.045 ,0.001 ,,0.042 ,0.000 ,,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.038 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.003 ,0.020 ,0.001 ,0.000 ,0.004 ,,0.019 ,0.001 ,0.009 ,0.007 ,0.039 ,0.042 ,0.003 ,0.000 ,0.000 ,,0.012 ,0.039 ,0.033 ,0.011 ,,0.002 ,0.016 ,0.005 ,0.002 ,,,0.001 ,0.000 ,0.019 ,0.005 ,0.000 ,0.032 ,,0.001 ,0.000 
1849,0.001 ,,0.007 ,,,0.000 ,0.002 ,0.026 ,0.000 ,,0.045 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.003 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.020 ,,0.005 ,0.000 ,0.001 ,,0.000 ,,,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,,0.000 ,0.009 ,0.021 ,0.000 ,0.000 ,0.000 ,0.003 ,0.000 ,0.000 ,,0.000 ,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.017 ,0.003 ,0.000 ,0.000 ,0.000 ,,0.001 ,0.004 ,0.000 ,0.000 ,,0.000 ,,0.000 ,,0.001 ,0.001 ,,,,0.000 ,0.040 ,,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,0.029 
1852,0.002 ,0.000 ,,,,0.000 ,,0.001 ,0.000 ,,,0.018 ,0.000 ,0.003 ,0.000 ,0.023 ,0.000 ,0.000 ,0.000 ,0.006 ,0.003 ,0.000 ,0.001 ,0.001 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.026 ,0.000 ,,0.002 ,0.000 ,,,0.010 ,0.000 ,,,0.000 ,,0.000 ,0.000 ,,,0.025 ,0.000 ,0.001 ,0.000 ,,0.000 ,0.000 ,,,0.001 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.034 ,0.000 ,0.002 ,0.000 ,,,,0.000 ,0.010 ,0.004 ,0.000 ,0.001 ,0.000 ,0.005 ,0.001 ,0.000 ,0.000 ,0.000 ,,0.000 ,,0.015 ,0.000 ,0.001 ,,0.000 ,0.001 ,0.000 ,0.000 ,0.000 
1858,0.049 ,0.003 ,0.004 ,,0.004 ,,0.000 ,0.001 ,,0.001 ,0.002 ,0.012 ,0.001 ,0.000 ,0.000 ,0.013 ,,,,0.000 ,0.000 ,0.009 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.005 ,0.000 ,0.003 ,0.028 ,0.007 ,0.001 ,0.026 ,,0.025 ,0.001 ,0.037 ,,0.015 ,0.022 ,0.000 ,0.000 ,0.002 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,,,0.000 ,0.003 ,0.038 ,0.004 ,0.004 ,0.012 ,0.001 ,0.000 ,,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.034 ,0.002 ,0.002 ,0.007 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.005 ,,0.022 ,0.000 ,0.000 ,,,0.002 ,0.000 ,,0.000 ,0.001 ,0.017 ,0.003 ,0.000 ,,0.004 ,0.000 ,,0.015 ,0.000 ,,,0.000 ,0.000 
1859,0.014 ,0.028 ,0.001 ,0.004 ,0.006 ,0.027 ,0.000 ,,,0.025 ,0.022 ,,,,0.017 ,0.001 ,0.001 ,0.004 ,0.011 ,0.000 ,0.034 ,,,,,0.000 ,0.000 ,,,,,0.010 ,0.034 ,0.044 ,,,,0.001 ,0.000 ,,,,0.003 ,0.001 ,0.002 ,0.002 ,0.023 ,0.005 ,0.000 ,0.000 ,,,0.022 ,0.006 ,0.008 ,0.014 ,0.039 ,0.010 ,0.000 ,0.000 ,,0.003 ,0.009 ,0.012 ,0.025 ,,0.017 ,0.000 ,0.000 ,0.019 ,0.032 ,0.040 ,,,,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.012 ,0.025 ,,,,,0.049 ,,0.021 ,0.048 ,,,0.001 ,0.002 ,,0.001 ,0.000 ,0.030 ,0.037 ,
1861,,,0.049 ,,0.006 ,0.021 ,,0.007 ,0.007 ,0.004 ,0.002 ,0.000 ,0.000 ,,0.034 ,0.011 ,0.034 ,0.001 ,0.006 ,,0.002 ,0.001 ,0.001 ,0.001 ,0.000 ,0.000 ,0.002 ,,,0.036 ,0.042 ,,0.007 ,0.009 ,0.004 ,0.000 ,0.000 ,0.001 ,,,,,,,0.048 ,0.030 ,0.008 ,0.001 ,0.002 ,,,,,,,,,,,,,0.026 ,0.022 ,0.007 ,0.003 ,0.000 ,0.000 ,0.000 ,,,,,0.036 ,0.006 ,0.001 ,0.003 ,,0.018 ,0.006 ,0.006 ,0.004 ,0.001 ,0.000 ,0.028 ,,,0.020 ,0.001 ,0.009 ,,,,0.026 ,0.039 ,,,0.011 ,0.035 ,,0.001 ,0.045 ,,,,0.010 
1862,,0.000 ,0.000 ,0.009 ,0.000 ,,0.000 ,,,,0.000 ,,,,0.000 ,0.000 ,0.001 ,0.000 ,,0.008 ,,,,0.000 ,,0.038 ,0.016 ,,,0.003 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.027 ,0.000 ,0.000 ,0.000 ,,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,,0.005 ,0.012 ,0.006 ,0.005 ,0.006 ,0.045 ,0.009 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,0.042 ,0.000 ,0.008 ,0.032 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,0.000 ,,,,,0.000 ,0.016 ,,,0.000 ,0.027 ,,,0.000 ,0.000 ,0.000 ,,,
1880,0.014 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.039 ,0.000 ,0.002 ,0.000 ,0.000 ,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,,0.000 ,0.000 ,,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,0.000 ,,0.024 ,0.000 ,0.040 ,0.028 ,0.001 ,0.000 ,0.000 ,,0.000 ,,0.001 ,0.000 ,0.001 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.024 ,0.000 ,0.000 ,0.033 ,0.000 ,0.000 ,0.048 ,0.003 ,0.047 ,,0.010 ,0.006 ,0.001 ,0.000 ,,,0.000 ,0.000 ,,0.000 ,0.000 ,,0.000 ,0.000 ,,0.000 ,0.000 ,,0.000 ,0.000 ,,0.024 ,0.000 ,0.000 
1881,,,,,,,,,0.018 ,,,,0.010 ,,,0.000 ,0.000 ,0.000 ,0.002 ,,,0.000 ,0.027 ,,,0.000 ,,0.002 ,0.001 ,0.000 ,0.042 ,,,0.000 ,,,,0.000 ,,,0.038 ,0.009 ,,0.002 ,0.006 ,0.001 ,0.001 ,0.002 ,,0.000 ,,0.008 ,,0.002 ,0.008 ,0.001 ,0.001 ,0.001 ,,0.000 ,0.001 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,0.000 ,0.012 ,0.026 ,0.044 ,0.000 ,0.012 ,,,,,,,,0.000 ,0.040 ,,,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,0.000 ,0.010 ,,0.000 ,,0.000 ,,0.000 
1882,,0.005 ,0.016 ,0.010 ,0.022 ,,0.000 ,,,,,,,,0.000 ,0.004 ,0.001 ,0.002 ,,0.000 ,,,0.034 ,,,,,0.033 ,0.036 ,,0.001 ,0.000 ,0.001 ,0.001 ,0.008 ,0.004 ,0.003 ,0.000 ,0.000 ,,,0.001 ,0.000 ,0.000 ,0.000 ,0.025 ,0.005 ,0.005 ,0.000 ,0.000 ,,0.001 ,0.000 ,0.001 ,0.001 ,,0.041 ,0.003 ,0.000 ,0.000 ,0.007 ,0.000 ,0.006 ,0.006 ,,,0.011 ,0.000 ,0.000 ,0.000 ,,,0.001 ,0.003 ,,,0.044 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.001 ,,,0.031 ,0.000 ,0.001 ,,,0.027 ,0.023 ,0.013 ,0.000 ,0.002 ,0.045 ,0.000 ,0.037 ,,,0.008 
